order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,year,month,month_name,profit_margin
ORD-100001,2024-04-16,2024-04-19,First Class,CUST-1088,Customer 1117,Home Office,United States,Peoria,Illinois,98101,West,PROD-1258,Office Supplies,Art Supplies,Art Supplies Product 30,1963.95,5,0.05,98.08,2024,4,April,0.049940171592963156
ORD-100002,2024-06-09,2024-06-10,First Class,CUST-1059,Customer 1170,Home Office,United States,Phoenix,Arizona,98101,Central,PROD-1175,Furniture,Tables,Tables Product 62,1608.92,4,0.2,54.17,2024,6,June,0.033668547845759886
ORD-100003,2024-05-10,2024-05-12,Same Day,CUST-1089,Customer 1060,Corporate,United States,Columbus,Ohio,73301,Central,PROD-1265,Office Supplies,Art Supplies,Art Supplies Product 53,1998.05,5,0.2,76.17,2024,5,May,0.038122169114887014
ORD-100004,2025-03-30,2025-04-03,Second Class,CUST-1104,Customer 1132,Corporate,United States,Tampa,Florida,98101,Central,PROD-1054,Furniture,Storage,Storage Product 4,1311.68,4,0.1,266.58,2025,3,March,0.2032355452549402
ORD-100005,2025-12-30,2026-01-03,Standard Class,CUST-1190,Customer 1040,Consumer,United States,Cleveland,Ohio,85001,West,PROD-1338,Furniture,Chairs,Chairs Product 53,2445.6,4,0.3,238.2,2025,12,December,0.09739941118743867
ORD-100006,2024-02-10,2024-02-11,Same Day,CUST-1129,Customer 1236,Home Office,United States,Miami,Florida,10001,East,PROD-1081,Furniture,Chairs,Chairs Product 8,2619.0,5,0.0,114.59,2024,2,February,0.04375334096983582
ORD-100007,2025-05-04,2025-05-08,Second Class,CUST-1033,Customer 1048,Home Office,United States,San Jose,California,43215,Central,PROD-1216,Office Supplies,Labels,Labels Product 37,2991.73,7,0.15,492.57,2025,5,May,0.16464386826351307
ORD-100008,2025-06-30,2025-07-05,Second Class,CUST-1247,Customer 1142,Home Office,United States,Tucson,Arizona,10001,West,PROD-1207,Office Supplies,Art Supplies,Art Supplies Product 15,256.31,1,0.3,20.18,2025,6,June,0.07873278451874682
ORD-100009,2025-11-21,2025-11-25,Second Class,CUST-1229,Customer 1151,Home Office,United States,Miami,Florida,60601,East,PROD-1171,Furniture,Tables,Tables Product 29,4084.5,7,0.0,471.54,2025,11,November,0.11544619904517077
ORD-100010,2024-08-30,2024-08-31,Standard Class,CUST-1134,Customer 1028,Corporate,United States,Cincinnati,Ohio,98101,East,PROD-1128,Technology,Printers,Printers Product 62,3442.44,6,0.05,710.69,2024,8,August,0.2064494951255505
ORD-100011,2025-09-24,2025-09-27,Standard Class,CUST-1062,Customer 1165,Consumer,United States,San Jose,California,10001,Central,PROD-1172,Technology,Phones,Phones Product 24,947.76,4,0.1,-12.64,2025,9,September,-0.0133367097155398
ORD-100012,2025-11-22,2025-11-24,First Class,CUST-1113,Customer 1101,Consumer,United States,Seattle,Washington,85001,West,PROD-1187,Office Supplies,Labels,Labels Product 2,53.4,1,0.05,13.0,2025,11,November,0.24344569288389514
ORD-100013,2024-08-12,2024-08-14,Same Day,CUST-1198,Unknown,Home Office,United States,Spokane,Washington,33101,East,PROD-1203,Furniture,Storage,Storage Product 56,164.84,1,0.05,23.07,2024,8,August,0.1399538946857559
ORD-100014,2024-10-06,2024-10-07,Standard Class,CUST-1124,Customer 1187,Corporate,United States,Cleveland,Ohio,85001,West,PROD-1259,Office Supplies,Paper,Paper Product 20,2077.05,5,0.3,-60.82,2024,10,October,-0.029281914253388216
ORD-100015,2025-05-25,2025-05-27,Same Day,CUST-1129,Customer 1011,Consumer,United States,Buffalo,New York,90001,Central,PROD-1151,Office Supplies,Art Supplies,Art Supplies Product 31,703.35,3,0.15,128.87,2025,5,May,0.1832231463709391
ORD-100016,2024-05-23,2024-05-25,Standard Class,CUST-1048,Customer 1140,Consumer,United States,Rochester,New York,60601,South,PROD-1009,Furniture,Tables,Tables Product 19,1277.24,2,0.15,108.08,2024,5,May,0.08461996179261533
ORD-100017,2024-04-29,2024-05-03,Second Class,CUST-1104,Customer 1084,Corporate,United States,Tucson,Arizona,10001,South,PROD-1099,Office Supplies,Art Supplies,Art Supplies Product 25,421.62,1,0.1,88.35,2024,4,April,0.20954888288031875
ORD-100018,2024-12-03,2024-12-04,Same Day,CUST-1033,Customer 1142,Consumer,United States,Tucson,Arizona,85001,South,PROD-1135,Technology,Accessories,Accessories Product 67,906.86,2,0.2,-14.67,2024,12,December,-0.016176697615949538
ORD-100019,2025-04-14,2025-04-19,First Class,CUST-1182,Customer 1008,Home Office,United States,San Jose,California,10001,Central,PROD-1277,Technology,Printers,Printers Product 30,1202.53,7,0.3,130.5,2025,4,April,0.10852120113427524
ORD-100020,2025-03-28,2025-03-29,Same Day,CUST-1017,Customer 1172,Corporate,United States,Columbus,Ohio,60601,Central,PROD-1006,Technology,Printers,Printers Product 37,1891.68,4,0.1,231.32,2025,3,March,0.12228283853505878
ORD-100021,2025-08-29,2025-09-03,Same Day,CUST-1215,Customer 1161,Home Office,United States,Seattle,Washington,85001,Central,PROD-1281,Technology,Phones,Phones Product 54,1912.35,3,0.15,53.87,2025,8,August,0.028169529636311346
ORD-100022,2025-09-17,2025-09-19,Second Class,CUST-1218,Customer 1017,Consumer,United States,Tucson,Arizona,90001,East,PROD-1246,Furniture,Bookcases,Bookcases Product 48,4505.55,7,0.05,331.15,2025,9,September,0.07349824105825037
ORD-100023,2025-06-21,2025-06-22,Same Day,CUST-1173,Customer 1020,Consumer,United States,Austin,Texas,85001,South,PROD-1142,Office Supplies,Paper,Paper Product 76,526.38,3,0.2,-26.54,2025,6,June,-0.05041984877844903
ORD-100024,2025-12-27,2026-01-01,Second Class,CUST-1058,Customer 1058,Corporate,United States,Cleveland,Ohio,90001,South,PROD-1170,Office Supplies,Labels,Labels Product 70,244.51,7,0.0,18.88,2025,12,December,0.07721565580139872
ORD-100025,2024-09-20,2024-09-24,Second Class,CUST-1109,Customer 1224,Corporate,United States,New York City,New York,43215,East,PROD-1311,Office Supplies,Binders,Binders Product 40,926.2,5,0.15,99.1,2024,9,September,0.10699632908659036
ORD-100026,2025-10-31,2025-11-02,Standard Class,CUST-1218,Customer 1117,Corporate,United States,Orlando,Florida,43215,East,PROD-1129,technology,Accessories,Accessories Product 58,1557.99,3,0.1,140.77,2025,10,October,0.0903535966212877
