Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-100001,2024-04-16,2024-04-19,First Class,CUST-1088,Customer 1117,Home Office,United States,Peoria,Illinois,98101,West,PROD-1258,Office Supplies,Art Supplies,Art Supplies Product 30,1963.95,5,0.05,98.08
ORD-100002,2024-06-09,2024-06-10,First Class,CUST-1059,Customer 1170,Home Office,United States,Phoenix,Arizona,98101,Central,PROD-1175,Furniture,Tables,Tables Product 62,1608.92,4,0.2,54.17
ORD-100003,2024-05-10,2024-05-12,Same Day,CUST-1089,Customer 1060,Corporate,United States,Columbus,Ohio,73301,Central,PROD-1265,Office Supplies,Art Supplies,Art Supplies Product 53,1998.05,5,0.2,76.17
ORD-100004,2025-03-30,2025-04-03,Second Class,CUST-1104,Customer 1132,Corporate,United States,Tampa,Florida,98101,Central,PROD-1054,Furniture,Storage,Storage Product 4,1311.68,4,0.1,266.58
ORD-100005,2025-12-30,2026-01-03,Standard Class,CUST-1190,Customer 1040,Consumer,United States,Cleveland,Ohio,85001,West,PROD-1338,Furniture,Chairs,Chairs Product 53,2445.6,4,0.3,238.2
ORD-100006,2024-02-10,2024-02-11,Same Day,CUST-1129,Customer 1236,Home Office,United States,Miami,Florida,10001,East,PROD-1081,Furniture,Chairs,Chairs Product 8,2619.0,5,0.0,114.59
ORD-100007,2025-05-04,2025-05-08,Second Class,CUST-1033,Customer 1048,Home Office,United States,San Jose,California,43215,Central,PROD-1216,Office Supplies,Labels,Labels Product 37,2991.73,7,0.15,492.57
ORD-100008,2025-06-30,2025-07-05,Second Class,CUST-1247,Customer 1142,Home Office,United States,Tucson,Arizona,10001,West,PROD-1207,Office Supplies,Art Supplies,Art Supplies Product 15,256.31,1,0.3,20.18
ORD-100009,2025-11-21,2025-11-25,Second Class,CUST-1229,Customer 1151,Home Office,United States,Miami,Florida,60601,East,PROD-1171,Furniture,Tables,Tables Product 29,4084.5,7,0.0,471.54
ORD-100010,2024-08-30,2024-08-31,Standard Class,CUST-1134,Customer 1028,Corporate,United States,Cincinnati,Ohio,98101,East,PROD-1128,Technology,Printers,Printers Product 62,3442.44,6,0.05,710.69
ORD-100011,2025-09-24,2025-09-27,Standard Class,CUST-1062,Customer 1165,Consumer,United States,San Jose,California,10001,Central,PROD-1172,Technology,Phones,Phones Product 24,947.76,4,0.1,-12.64
ORD-100012,2025-11-22,2025-11-24,First Class,CUST-1113,Customer 1101,Consumer,United States,Seattle,Washington,85001,West,PROD-1187,Office Supplies,Labels,Labels Product 2,53.4,1,0.05,13.0
ORD-100013,2024-08-12,2024-08-14,Same Day,CUST-1198,,Home Office,United States,Spokane,Washington,33101,East,PROD-1203,Furniture,Storage,Storage Product 56,164.84,1,0.05,23.07
